,City,ISO3,country,country_num,year,population,GDP_USD,gdp_per_capita,home_adv,tot_gold,tot_silver,tot_bronze,tot_medals,last_medals,secondLast_medals,predictions_gold,predictions_silver,predictions_bronze
582,Rio de Janeiro,GTM,Guatemala,72,2016,16582469.0,68763255964.0,4146,0,0,0,0,0,1,0,0.0,0.0,0.0
588,Rio de Janeiro,GIN,Guinea,73,2016,12395924.0,8200248003.0,661,0,0,0,0,0,0,0,0.0,0.0,0.0
592,Rio de Janeiro,GNB,Guinea-Bissau,74,2016,1815698.0,1164944510.0,641,0,0,0,0,0,0,0,0.0,0.0,0.0
604,Rio de Janeiro,GUY,Guyana,75,2016,773303.0,3502397094.0,4529,0,0,0,0,0,0,0,0.0,0.0,0.0
609,Rio de Janeiro,HTI,Haiti,76,2016,10847334.0,8022638722.0,739,0,0,0,0,0,0,0,0.0,0.0,0.0
618,Rio de Janeiro,HND,Honduras,77,2016,9112867.0,21516938910.0,2361,0,0,0,0,0,0,0,1.0,0.0,0.0
623,Rio de Janeiro,HUN,Hungary,78,2016,9817958.0,125816640421.0,12814,0,8,3,4,15,18,10,8.0,4.0,3.0
636,Rio de Janeiro,ISL,Iceland,79,2016,334252.0,20047413006.0,59976,0,0,0,0,0,0,1,0.0,0.0,0.0
649,Rio de Janeiro,IND,India,80,2016,1324171354.0,2263792499341.0,1709,0,0,1,1,2,6,3,0.0,1.0,3.0
659,Rio de Janeiro,IDN,Indonesia,81,2016,261115456.0,932259177765.0,3570,0,1,2,0,3,2,5,0.0,5.0,3.0
669,Rio de Janeiro,IRN,Iran,82,2016,80277428.0,418976679729.0,5219,0,3,1,4,8,12,2,2.0,3.0,16.0
677,Rio de Janeiro,IRQ,Iraq,83,2016,37202572.0,171489001692.0,4609,0,0,0,0,0,0,0,1.0,0.0,0.0
690,Rio de Janeiro,IRL,Ireland,84,2016,4773095.0,304819020501.0,63861,0,0,2,0,2,5,3,2.0,5.0,3.0
702,Rio de Janeiro,ISR,Israel,85,2016,8547100.0,317744784695.0,37175,0,0,0,2,2,0,1,0.0,1.0,0.0
715,Rio de Janeiro,ITA,Italy,86,2016,60600590.0,1858913163928.0,30674,0,8,12,8,28,28,27,9.0,10.0,13.0
727,Rio de Janeiro,JAM,Jamaica,87,2016,2881355.0,14056908749.0,4878,0,6,3,2,11,12,10,4.0,4.0,3.0
739,Rio de Janeiro,JPN,Japan,88,2016,126994511.0,4940158776617.0,38900,0,12,8,21,41,38,25,9.0,10.0,9.0
747,Rio de Janeiro,JOR,Jordan,89,2016,9455802.0,38654727746.0,4087,0,1,0,0,1,0,0,1.0,2.0,0.0
751,Rio de Janeiro,KAZ,Kazakhstan,90,2016,17797032.0,137278320084.0,7713,0,3,5,10,18,13,13,0.0,1.0,5.0
762,Rio de Janeiro,KEN,Kenya,91,2016,48461567.0,70529014778.0,1455,0,6,6,1,13,11,15,2.0,7.0,9.0
764,Rio de Janeiro,KIR,Kiribati,92,2016,114395.0,181551485.0,1587,0,0,0,0,0,0,0,0.0,0.0,0.0
777,Rio de Janeiro,KGZ,Kyrgyzstan,94,2016,6082700.0,6551287938.0,1077,0,0,0,0,0,0,2,0.0,0.0,0.0
783,Rio de Janeiro,LAO,Laos,95,2016,6758353.0,15903329473.0,2353,0,0,0,0,0,0,0,0.0,0.0,0.0
787,Rio de Janeiro,LVA,Latvia,96,2016,1960424.0,27572698482.0,14064,0,0,0,0,0,2,3,1.0,1.0,1.0
793,Rio de Janeiro,LBN,Lebanon,97,2016,6006668.0,49598825982.0,8257,0,0,0,0,0,0,0,0.0,0.0,0.0
802,Rio de Janeiro,LSO,Lesotho,98,2016,2203821.0,2291321667.0,1039,0,0,0,0,0,0,0,0.0,0.0,0.0
811,Rio de Janeiro,LBR,Liberia,99,2016,4613823.0,2101000000.0,455,0,0,0,0,0,0,0,0.0,0.0,0.0
826,Rio de Janeiro,LTU,Lithuania,102,2016,2872298.0,42738875963.0,14879,0,0,1,3,4,5,5,1.0,1.0,2.0
839,Rio de Janeiro,LUX,Luxembourg,103,2016,582972.0,58631324559.0,100573,0,0,0,0,0,0,0,0.0,0.0,0.0
843,Rio de Janeiro,MKD,Macedonia,104,2016,2081206.0,10899583155.0,5237,0,0,0,0,0,0,0,0.0,0.0,0.0
853,Rio de Janeiro,MDG,Madagascar,105,2016,24894551.0,10001193420.0,401,0,0,0,0,0,0,0,0.0,0.0,0.0
861,Rio de Janeiro,MWI,Malawi,106,2016,18091575.0,5433038647.0,300,0,0,0,0,0,0,0,0.0,0.0,0.0
873,Rio de Janeiro,MYS,Malaysia,107,2016,31187265.0,296535930381.0,9508,0,0,4,1,5,2,1,0.0,1.0,2.0
879,Rio de Janeiro,MDV,Maldives,108,2016,417492.0,4224209599.0,10118,0,0,0,0,0,0,0,0.0,0.0,0.0
889,Rio de Janeiro,MLI,Mali,109,2016,17994837.0,14034980334.0,779,0,0,0,0,0,0,0,0.0,0.0,0.0
898,Rio de Janeiro,MLT,Malta,110,2016,436947.0,10999047580.0,25172,0,0,0,0,0,0,0,0.0,0.0,0.0
899,Rio de Janeiro,MHL,Marshall Islands,111,2016,53066.0,194497900.0,3665,0,0,0,0,0,0,0,0.0,0.0,0.0
906,Rio de Janeiro,MRT,Mauritania,112,2016,4301018.0,4739298730.0,1101,0,0,0,0,0,0,0,0.0,0.0,0.0
